StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            35.0         35.0         0.0          0.0          1000.0       0.0          0            
S0           f            35.0         35.0         0.0          0.0          1000.0       0.0          0            
S1           f            61.0         37.0         0.0          0.0          1000.0       0.0          0            
S2           f            74.0         39.0         0.0          0.0          1000.0       0.0          0            
S3           f            47.0         57.0         0.0          0.0          1000.0       0.0          0            
S4           f            57.0         65.0         0.0          0.0          1000.0       0.0          0            
S5           f            29.0         59.0         0.0          0.0          1000.0       0.0          0            
S6           f            34.0         71.0         0.0          0.0          1000.0       0.0          0            
S7           f            22.0         58.0         0.0          0.0          1000.0       0.0          0            
S8           f            7.0          61.0         0.0          0.0          1000.0       0.0          0            
S9           f            18.0         41.0         0.0          0.0          1000.0       0.0          0            
S10          f            5.0          39.0         0.0          0.0          1000.0       0.0          0            
S11          f            14.0         20.0         0.0          0.0          1000.0       0.0          0            
S12          f            0.0          26.0         0.0          0.0          1000.0       0.0          0            
S13          f            24.0         25.0         0.0          0.0          1000.0       0.0          0            
S14          f            26.0         6.0          0.0          0.0          1000.0       0.0          0            
S15          f            34.0         20.0         0.0          0.0          1000.0       0.0          0            
S16          f            41.0         5.0          0.0          0.0          1000.0       0.0          0            
S17          f            50.0         9.0          0.0          0.0          1000.0       0.0          0            
S18          f            61.0         14.0         0.0          0.0          1000.0       0.0          0            
S19          f            62.0         21.0         0.0          0.0          1000.0       0.0          0            
S20          f            74.0         30.0         0.0          0.0          1000.0       0.0          0            
C1           cd           41.0         49.0         -9.0         707.0        848.0        10.0         C20          
C2           cp           35.0         17.0         7.0          143.0        282.0        10.0         C72          
C3           cd           55.0         45.0         -21.0        527.0        584.0        10.0         C30          
C4           cd           55.0         20.0         -8.0         678.0        801.0        10.0         C74          
C5           cp           15.0         30.0         26.0         34.0         209.0        10.0         C7           
C6           cd           25.0         30.0         -28.0        415.0        514.0        10.0         C59          
C7           cd           20.0         50.0         -26.0        331.0        410.0        10.0         C5           
C8           cp           10.0         43.0         9.0          404.0        481.0        10.0         C18          
C9           cd           55.0         60.0         -6.0         400.0        497.0        10.0         C69          
C10          cp           30.0         60.0         16.0         577.0        632.0        10.0         C70          
C11          cd           20.0         65.0         -16.0        206.0        325.0        10.0         C82          
C12          cp           50.0         35.0         19.0         228.0        345.0        10.0         C71          
C13          cd           30.0         25.0         -7.0         690.0        827.0        10.0         C43          
C14          cp           15.0         10.0         20.0         32.0         243.0        10.0         C99          
C15          cp           30.0         5.0          8.0          175.0        300.0        10.0         C97          
C16          cp           10.0         20.0         19.0         272.0        373.0        10.0         C58          
C17          cd           5.0          30.0         -30.0        733.0        870.0        10.0         C49          
C18          cd           20.0         40.0         -9.0         377.0        434.0        10.0         C8           
C19          cp           15.0         60.0         17.0         269.0        378.0        10.0         C62          
C20          cp           45.0         65.0         9.0          581.0        666.0        10.0         C1           
C21          cp           45.0         20.0         11.0         214.0        331.0        10.0         C56          
C22          cp           45.0         10.0         18.0         409.0        494.0        10.0         C55          
C23          cp           55.0         5.0          29.0         206.0        325.0        10.0         C41          
C24          cd           65.0         35.0         -36.0        704.0        847.0        10.0         C68          
C25          cp           65.0         20.0         6.0          817.0        956.0        0.0          C101         
C26          cd           45.0         30.0         -26.0        588.0        667.0        10.0         C87          
C27          cd           35.0         40.0         -9.0         104.0        255.0        10.0         C52          
C28          cp           41.0         37.0         16.0         114.0        255.0        10.0         C79          
C29          cp           64.0         42.0         9.0          190.0        313.0        10.0         C81          
C30          cp           40.0         60.0         21.0         259.0        354.0        10.0         C3           
C31          cp           31.0         52.0         27.0         152.0        275.0        10.0         C78          
C32          cd           35.0         69.0         -13.0        660.0        777.0        10.0         C50          
C33          cp           53.0         52.0         11.0         45.0         200.0        10.0         C63          
C34          cd           65.0         55.0         -13.0        529.0        614.0        10.0         C76          
C35          cd           63.0         65.0         -25.0        686.0        813.0        10.0         C66          
C36          cd           2.0          60.0         -27.0        41.0         208.0        10.0         C47          
C37          cp           20.0         20.0         8.0          606.0        693.0        10.0         C100         
C38          cp           5.0          5.0          16.0         302.0        405.0        10.0         C96          
C39          cp           60.0         12.0         31.0         33.0         224.0        10.0         C67          
C40          cp           40.0         25.0         9.0          360.0        437.0        10.0         C53          
C41          cd           42.0         7.0          -29.0        396.0        511.0        10.0         C23          
C42          cd           24.0         12.0         -2.0         25.0         172.0        10.0         C92          
C43          cp           23.0         3.0          7.0          620.0        705.0        10.0         C13          
C44          cp           11.0         14.0         18.0         233.0        340.0        10.0         C86          
C45          cp           6.0          38.0         16.0         29.0         189.0        10.0         C64          
C46          cd           2.0          48.0         -9.0         515.0        628.0        10.0         C88          
C47          cp           8.0          56.0         27.0         85.0         250.0        10.0         C36          
C48          cp           13.0         52.0         36.0         773.0        906.0        10.0         C60          
C49          cp           6.0          68.0         30.0         501.0        540.0        10.0         C17          
C50          cp           47.0         47.0         13.0         547.0        642.0        10.0         C32          
C51          cd           49.0         58.0         -20.0        348.0        453.0        10.0         C65          
C52          cp           27.0         43.0         9.0          174.0        299.0        10.0         C27          
C53          cd           37.0         31.0         -9.0         414.0        489.0        10.0         C40          
C54          cd           57.0         29.0         -9.0         641.0        734.0        10.0         C73          
C55          cd           63.0         23.0         -18.0        620.0        739.0        10.0         C22          
C56          cd           53.0         12.0         -11.0        585.0        692.0        10.0         C21          
C57          cd           32.0         12.0         -18.0        421.0        530.0        10.0         C75          
C58          cd           36.0         26.0         -19.0        849.0        980.0        10.0         C16          
C59          cp           21.0         24.0         28.0         17.0         229.0        10.0         C6           
C60          cd           17.0         34.0         -36.0        721.0        862.0        10.0         C48          
C61          cd           12.0         24.0         -10.0        290.0        377.0        10.0         C98          
C62          cd           24.0         58.0         -17.0        163.0        302.0        10.0         C19          
C63          cd           27.0         69.0         -11.0        34.0         191.0        10.0         C33          
C64          cd           15.0         77.0         -16.0        214.0        333.0        10.0         C45          
C65          cp           62.0         77.0         20.0         49.0         188.0        10.0         C51          
C66          cp           49.0         73.0         25.0         592.0        693.0        10.0         C35          
C67          cd           67.0         5.0          -31.0        294.0        401.0        10.0         C39          
C68          cp           56.0         39.0         36.0         637.0        752.0        10.0         C24          
C69          cp           37.0         47.0         6.0          162.0        293.0        10.0         C9           
C70          cd           37.0         56.0         -16.0        788.0        968.0        10.0         C10          
C71          cd           57.0         68.0         -19.0        268.0        367.0        10.0         C12          
C72          cd           47.0         16.0         -7.0         31.0         208.0        10.0         C2           
C73          cp           44.0         17.0         9.0          308.0        399.0        10.0         C54          
C74          cp           46.0         13.0         8.0          681.0        802.0        10.0         C4           
C75          cp           49.0         11.0         18.0         236.0        345.0        10.0         C57          
C76          cp           49.0         42.0         13.0         290.0        373.0        10.0         C34          
C77          cd           53.0         43.0         -6.0         817.0        952.0        10.0         C80          
C78          cd           61.0         52.0         -27.0        384.0        499.0        10.0         C31          
C79          cd           57.0         48.0         -16.0        388.0        465.0        10.0         C28          
C80          cp           56.0         37.0         6.0          839.0        968.0        10.0         C77          
C81          cd           55.0         54.0         -9.0         411.0        456.0        10.0         C29          
C82          cp           15.0         47.0         16.0         162.0        289.0        10.0         C11          
C83          cp           14.0         37.0         11.0         96.0         249.0        10.0         C90          
C84          cp           11.0         31.0         7.0          436.0        511.0        0.0          C102         
C85          cd           16.0         22.0         -20.0        376.0        461.0        10.0         C95          
C86          cd           4.0          18.0         -18.0        388.0        465.0        10.0         C44          
C87          cp           28.0         18.0         26.0         420.0        447.0        10.0         C26          
C88          cp           26.0         52.0         9.0          279.0        388.0        10.0         C46          
C89          cd           26.0         35.0         -22.0        755.0        920.0        10.0         C93          
C90          cd           31.0         67.0         -11.0        392.0        487.0        10.0         C83          
C91          cd           15.0         19.0         -27.0        739.0        866.0        10.0         C94          
C92          cp           22.0         22.0         2.0          18.0         181.0        10.0         C42          
C93          cp           18.0         24.0         22.0         811.0        969.0        10.0         C89          
C94          cp           26.0         27.0         27.0         436.0        503.0        10.0         C91          
C95          cp           25.0         24.0         20.0         92.0         231.0        10.0         C85          
C96          cd           22.0         27.0         -16.0        607.0        690.0        10.0         C38          
C97          cd           25.0         21.0         -8.0         612.0        673.0        10.0         C15          
C98          cp           19.0         21.0         10.0         183.0        306.0        10.0         C61          
C99          cd           20.0         26.0         -20.0        333.0        432.0        10.0         C14          
C100         cd           18.0         18.0         -8.0         798.0        965.0        10.0         C37          
C101         cd           65.0         20.0         -6.0         817.0        956.0        10.0         C25          
C102         cd           11.0         31.0         -7.0         436.0        511.0        10.0         C84          

Vehicle battery capacity : 187.86
Vehicle freight capacity : 1000.0
battery consumption rate : 1.0
inverse recharging rate : 0.16
average velocity : 1.0
